,audiAcc,audiChange,audiCnt,audiInten,movieCd,movieNm,openDt,rank,rankInten,rankOldAndNew,rnum,salesAcc,salesAmt,salesChange,salesInten,salesShare,scrnCnt,showCnt,targetDt
133,117810,675,7649,6662,20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,2019-07-11,8,10,OLD,8,937149820,60461000,717.7,53067400,0.5,189,231,20190720
134,151004,11.8,6587,693,20185986,진범,2019-07-10,9,-1,OLD,9,1286925200,59110200,16.2,8234700,0.5,167,293,20190720
135,274114,46.6,3944,1254,20185353,기방도령,2019-07-10,10,-1,OLD,10,2233087760,30878950,46.7,9833390,0.3,158,224,20190720
136,7148293,36.1,100388,26640,20196309,스파이더맨: 파 프롬 홈,2019-07-02,2,0,OLD,2,61588343830,880132550,48.1,285908750,17.0,872,3327,20190719
137,10541050,52.2,95855,32865,20183867,알라딘,2019-05-23,3,0,OLD,3,89878474059,853545060,66.8,341781040,16.5,771,2433,20190719
138,3227631,31.4,14011,3347,20184047,토이 스토리 4,2019-06-20,4,0,OLD,4,27344326150,120658350,41.1,35129730,2.3,319,534,20190719
139,9978291,14.1,9641,1195,20183782,기생충,2019-05-30,5,0,OLD,5,85000703065,70737160,27.6,15307530,1.4,192,308,20190719
140,27044,10.8,9194,896,20192222,사일런스,2019-07-17,6,0,OLD,6,229702540,82413460,20.4,13955260,1.6,431,894,20190719
141,13944,76,7381,3188,20182490,나랏말싸미,2019-07-24,7,2,OLD,7,113546000,58293000,54.5,20566000,1.1,31,36,20190719
142,144417,11.6,5894,612,20185986,진범,2019-07-10,8,-1,OLD,8,1227815000,50875500,22,9175200,1.0,204,407,20190719
143,270170,-24.4,2690,-870,20185353,기방도령,2019-07-10,9,1,OLD,9,2202208810,21045560,-17.5,-4459720,0.4,182,276,20190719
144,471266,81.9,2279,1026,20199951,애나벨 집으로,2019-06-26,10,5,OLD,10,3906858030,18362340,95.8,8986520,0.4,55,91,20190719
145,7047905,-4,73748,-3108,20196309,스파이더맨: 파 프롬 홈,2019-07-02,2,0,OLD,2,60708211280,594223800,-3.8,-23344370,16.1,888,3318,20190718
146,10445195,11.8,62990,6670,20183867,알라딘,2019-05-23,3,0,OLD,3,89024928999,511764020,11.9,54321700,13.8,694,2123,20190718
147,3213620,6.2,10664,623,20184047,토이 스토리 4,2019-06-20,4,0,OLD,4,27223667800,85528620,9,7052920,2.3,316,505,20190718
148,9968650,7.1,8446,560,20183782,기생충,2019-05-30,5,1,OLD,5,84929965905,55429630,8.8,4498610,1.5,196,305,20190718
149,17850,-9.5,8298,-870,20192222,사일런스,2019-07-17,6,-1,OLD,6,147289080,68458200,-9.9,-7558680,1.9,449,952,20190718
150,138523,3.5,5282,181,20185986,진범,2019-07-10,7,0,OLD,7,1176939500,41700300,4.5,1806800,1.1,189,410,20190718
151,6584,195.2,4918,3252,20184621,엑시트,2019-07-31,8,3,OLD,8,51862000,36885000,146.3,21908000,1.0,20,20,20190718
152,6563,1996.5,4193,3993,20182490,나랏말싸미,2019-07-24,9,22,OLD,9,55253000,37727000,2007.7,35937000,1.0,18,19,20190718
153,267480,-22.8,3560,-1050,20185353,기방도령,2019-07-10,10,-2,OLD,10,2181163250,25505280,-25.9,-8913380,0.7,194,292,20190718
154,6974157,-24.2,76856,-24538,20196309,스파이더맨: 파 프롬 홈,2019-07-02,2,-1,OLD,2,60113987480,617568170,-27.5,-234051290,14.8,873,3428,20190717
155,10382205,-33.1,56320,-27842,20183867,알라딘,2019-05-23,3,-1,OLD,3,88513164979,457442320,-33.4,-229401550,11.0,647,2022,20190717
