,audiAcc,audiChange,audiCnt,audiInten,movieCd,movieNm,openDt,rank,rankInten,rankOldAndNew,rnum,salesAcc,salesAmt,salesChange,salesInten,salesShare,scrnCnt,showCnt,targetDt
15,116512,-19.3,3273,-782,20180937,더 페이버릿: 여왕의 여자,2019-02-21,7,-1,OLD,7,973373760,26240480,-16.5,-5200140,0.6,88,189,20190306
16,352993,-46.1,2138,-1827,20184574,그린 북,2019-01-09,8,-1,OLD,8,3064982061,16792350,-44.9,-13704090,0.4,87,123,20190306
17,2106,100,1329,1329,20195943,브라더 오브 더 이어,2019-03-07,9,0,NEW,9,18954000,11961000,100,11961000,0.3,6,6,20190306
18,20892,-27,1138,-421,20196323,더 와이프,2019-02-27,10,3,OLD,10,164726157,8283430,-27.4,-3123260,0.2,53,70,20190306
19,1834466,104.5,138913,70979,20185881,증인,2019-02-13,2,0,OLD,2,14593703011,797764350,53,276346950,20.4,815,2909,20190227
20,102744,100,99754,99754,20196601,항거:유관순 이야기,2019-02-27,3,0,NEW,3,609226750,581266750,100,581266750,14.8,737,2861,20190227
21,15632651,45.9,89179,28039,20182530,극한직업,2019-01-23,4,-1,OLD,4,134238411316,542183650,13.2,63020220,13.8,646,2524,20190227
22,51124,1536.8,43408,40756,20176442,자전차왕 엄복동,2019-02-27,5,8,OLD,5,321850050,259362050,1225,239788050,6.6,624,2278,20190227
23,23239,100,22216,22216,20195791,"어쩌다, 결혼",2019-02-27,6,0,NEW,6,141349770,132134770,100,132134770,3.4,529,1408,20190227
24,190247,-26.3,16135,-5758,20195743,신데렐라:마법 반지의 비밀,2019-02-20,7,-3,OLD,7,1391829530,110071080,-26.5,-39658560,2.8,334,464,20190227
25,63896,20.6,9798,1676,20180937,더 페이버릿: 여왕의 여자,2019-02-21,8,-1,OLD,8,524452670,61595640,-3.9,-2527740,1.6,73,181,20190227
26,102596,23.1,8661,1627,20020222,해리포터와 비밀의 방,2002-12-13,9,-1,OLD,9,876556000,64189500,14.8,8251000,1.6,33,195,20190227
27,1914981,-34.7,7721,-4110,20188282,알리타: 배틀 엔젤,2019-02-05,10,-5,OLD,10,18254077957,47185190,-48.2,-43906690,1.2,169,261,20190227
28,14856663,-19.6,91845,-22425,20182530,극한직업,2019-01-23,2,0,OLD,2,127922179146,720005250,-20.2,-182267400,19.7,836,3673,20190220
29,1028619,-30.6,80798,-35634,20185881,증인,2019-02-13,3,-2,OLD,3,8335053261,623382450,-22.9,-184783890,17.0,830,3097,20190220
30,20062,100,19775,19775,20185576,콜드 체이싱,2019-02-20,4,0,NEW,4,156125290,153887290,100,153887290,4.2,480,1433,20190220
31,19437,296.5,15433,11541,20020222,해리포터와 비밀의 방,2002-12-13,5,4,OLD,5,159962500,120858500,216.3,82650500,3.3,33,203,20190220
